State,office,dem_wins,BPI,weighted_polls,weighted_sd,weighted_var,weighted_undecided,number_of_polls,last_30_polls,percent_polls,lean
Idaho,Governor,0,0.3435676477964845,NA,0.03,NA,NA,0,0,0,0.3435676477964845
New Hampshire,Governor,0,0.5029042677489298,0.4077539852015215,0.02041713130466278,4.250217217460419e-4,10.61765808922215,8,4,0.6721967923341573,0.4389445530308732
Oklahoma,Senate 1,0,0.32933981117238625,0.3812521064375205,0.0238134478659651,5.693736015459317e-4,13.127998096772195,3,3,0.6005697082211832,0.36051676319285986
Alabama,Governor,0,0.3885691108757344,NA,0.03,NA,NA,0,0,0,0.3885691108757344
Tennessee,Governor,0,0.37907978731140657,NA,0.03,NA,NA,0,0,0,0.37907978731140657
Arizona,Governor,15,0.4138652082164871,0.4998966813071089,0.01847373744922243,3.50546063328135e-4,8.468221885751007,11,8,0.7588322629590675,0.47914866562754577
Nevada,Governor,41,0.5011676011924624,0.4953405306536734,0.01740290207691006,3.07407473205584e-4,11.695969943141112,10,3,0.6354581502075689,0.49746474172675453
Oregon,Governor,99,0.5760816808687109,0.5022666107770415,0.03030030538303276,9.216713314037352e-4,35.936259369611705,3,0,0.08151620471728219,0.5700645565038979
Kansas,Governor,20,0.43255565338511026,0.5287519663772351,0.02015847174487969,4.249569373441641e-4,9.9950565861188565,5,2,0.5294514636526828,0.48348693209678234
Wisconsin,Governor,64,0.507115959268532,0.5051648327468187,0.01800161770465247,3.290258214342501e-4,6.134722772812983,11,7,0.7463972676213328,0.5056596437639417
Georgia,Governor,1,0.4197169174882852,0.4717458936752543,0.01710823501277694,2.9871431640431757e-4,5.379912797363349,22,9,0.7764255606022503,0.46011354449181385
Maine,Governor,100,0.4750684461591846,0.566619439135916,0.01754006259587003,3.1196054081888817e-4,8.277624298262976,7,3,0.6216471274828319,0.5319808579613705
New Mexico,Governor,100,0.5600332001977625,0.5470031675133038,0.02047134980173387,4.293047978422503e-4,12.259840304182951,7,2,0.5463050451042804,0.5529148276043689
Hawaii,Governor,100,0.6917210294990738,NA,0.03,NA,NA,0,0,0,0.6917210294990738
South Dakota,Governor,0,0.36273853165395326,NA,0.03,NA,NA,0,0,0,0.36273853165395326
California,Governor,100,0.6258687245579007,0.651685393258427,0.01551161086154731,2.4061007152007249e-4,11,1,1,0.31556140108872355,0.6340154687044821
Florida,Governor,10,0.4853526438955828,0.4647022286041271,0.02092610801962944,4.565193940151938e-4,6.909822051176514,9,6,0.7274674406987297,0.47033013913414157
Massachusetts,Governor,100,0.6342754700682979,0.6380181329124626,0.02218280573066936,4.961409985938128e-4,18.96010610655491,2,2,0.5010112317245373,0.6361505861897825
Wisconsin,Senate,42,0.507115959268532,0.4907862364065201,0.01785614232344611,3.233053252212165e-4,5.403870108276918,12,8,0.7597481085488315,0.49470948321099184
Georgia,Senate,37,0.4197169174882852,0.514118832070629,0.01697420778771088,2.9360444898307315e-4,8.165083773918708,23,8,0.768836351642615,0.49229654108385223
Nevada,Senate,38,0.5011676011924624,0.48990448867553704,0.01887649477046867,3.673034235685196e-4,10.882338684914108,14,4,0.6891591214175161,0.4934055244658715
North Carolina,Senate,40,0.49568219543230463,0.49711750170341606,0.01934169135917092,3.783847114984405e-4,10.64127546740996,15,7,0.7508642200388959,0.4967599155560797
Ohio,Senate,39,0.4537027389356207,0.5049498221221919,0.01828746927042111,3.401559711707208e-4,9.976515734098127,14,8,0.7615314670762359,0.49272900537806813
North Dakota,Senate,0,0.26860147032799875,NA,0.03,NA,NA,0,0,0,0.26860147032799875
Alaska,Senate,1,0.4234414164928131,NA,0.03,NA,NA,0,0,0,0.4234414164928131
Idaho,Senate,0,0.3435676477964845,NA,0.03,NA,NA,0,0,0,0.3435676477964845
Hawaii,Senate,100,0.6917210294990738,NA,0.03,NA,NA,0,0,0,0.6917210294990738
South Dakota,Senate,0,0.36273853165395326,0.4177021429263621,0.02774332449810629,7.69693288324929e-4,20.999397158567763,2,1,0.33436819300844944,0.38111661503632743
Arkansas,Senate,0,0.36580350261159406,0.41216216216216217,0.01980175718734845,3.921095877067062e-4,26,1,1,0.31556140108872355,0.38043250617196644
Maryland,Senate,100,0.5960060257679597,0.43023255813953487,0.02387625579584203,5.700755908284805e-4,14,1,0,0.02735187216062337,0.5914718110737638
Connecticut,Senate,100,0.5852624201950081,0.5827831349565936,0.01352258044271656,1.900555741073941e-4,7.568242092457557,2,2,0.5010112317245373,0.5840202704439136
Arizona,Senate,64,0.4138652082164871,0.535237675848975,0.01875575867490839,3.609776651459778e-4,10.066947496949592,14,9,0.7710383494390224,0.5074480353271817
Pennsylvania,Senate,96,0.5282642047516033,0.5315145292085737,0.01913568867159285,3.809512040936888e-4,10.539231381631897,20,10,0.7823123552825096,0.5308069737329681
New Hampshire,Senate,99,0.5029042677489298,0.5536413237380947,0.0207252133209284,4.351538183340362e-4,8.896403145913943,9,4,0.6752451628607699,0.5371642193834094
Florida,Senate,23,0.4853526438955828,0.482990143931696,0.01998430459078833,4.177542719589645e-4,8.700707258345144,21,5,0.7274674406987297,0.4836340020932032
Colorado,Senate,99,0.542681203023843,0.5428883275169832,0.01743216675743734,3.074005724216803e-4,12.915848003816656,8,2,0.5541707826783133,0.5427959853663185
California,Senate,100,0.6258687245579007,NA,0.03,NA,NA,0,0,0,0.6258687245579007
Alabama,Senate,0,0.3885691108757344,NA,0.03,NA,NA,0,0,0,0.3885691108757344
New York,Senate,100,0.6532933917622133,0.6134974490212539,0.01904986178539181,3.658536373274131e-4,10.732075869093944,5,2,0.5294514636526828,0.6322233716305741
South Carolina,Senate,0,0.4154334670940243,0.40657953563679267,0.02102155591585578,4.419062137101989e-4,9.001227332943715,2,1,0.33436819300844944,0.41247299403164905
Kentucky,Senate,0,0.3846817941987608,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,6,1,0,0.02735187216062337,0.38550814411434164
Kansas,Senate,0,0.43255565338511026,0.4116074260240027,0.02075394603717583,4.475372403812362e-4,17.721837264714484,2,2,0.5010112317245373,0.42206035619247606
Oregon,Senate,98,0.5760816808687109,NA,0.03,NA,NA,0,0,0,0.5760816808687109
Louisiana,Senate,0,0.20825071691209315,NA,0.03,NA,NA,0,0,0,0.20825071691209315
Vermont,Senate,100,0.5615958883006096,0.5351171180311524,0.01580877569669975,2.499331673027132e-4,7.10321525627695,3,1,0.3523123552825096,0.5522670903819926
Indiana,Senate,0,0.4242633551137972,0.4827586206896552,0.01166025119612212,1.3596145795666747e-4,13,1,0,0.02735187216062337,0.4258633101398298
Illinois,Senate,100,0.5792642485200454,0.6153811595338949,0.01709882875531904,2.923964468888137e-4,19.6173849245997,2,1,0.33436819300844944,0.5913405947927932
Vermont,Governor,0,0.5615958883006096,0.1867500129180384,0.01351853725076113,1.8531426412821256e-4,17.60822847274977,2,1,0.33436819300844944,0.4362593502922688
Iowa,Senate,0,0.4549003365482535,0.4757268104957858,0.01595879105833806,2.5824450346379835e-4,8.114116696676634,10,1,0.45605141616399325,0.4643982794857281
Missouri,Senate,0,0.43486937802658415,0.4346726151992122,0.0175788623390577,3.153834628643262e-4,14.083421731439037,4,2,0.520417745543356,0.43476697915955653
Washington,Senate,99,0.5770660468078627,0.5462678927717315,0.01941406424047544,3.919092604794202e-4,8.349971201786172,14,5,0.7154817079428103,0.5550305309566058
Utah,Senate,0,0.3463992347318535,0.4318858338171663,0.02002436846747323,4.039833703411828e-4,13.194820973736428,6,2,0.5380726880850821,0.39239723889693945
Pennsylvania,Governor,100,0.5282642047516033,0.5613461657299033,0.01882402743466537,3.686768732112626e-4,8.864977367646704,18,10,0.7812018233284119,0.5541078929871306
Nebraska,Governor,0,0.37204872788557425,NA,0.03,NA,NA,0,0,0,0.37204872788557425
Wyoming,Governor,0,0.2810805824406115,NA,0.03,NA,NA,0,0,0,0.2810805824406115
Iowa,Governor,1,0.4549003365482535,0.4093783325474538,0.02148507575696452,4.625557608796732e-4,11.9740047120503,4,0,0.10807268808508205,0.4499806512088672
Oklahoma,Governor,0,0.32933981117238625,0.4635760469549818,0.02369205921643941,5.676608173893977e-4,10.5740848119227,9,3,0.6310251053540308,0.4140462459994271
Rhode Island,Governor,100,0.6357894393041108,NA,0.03,NA,NA,0,0,0,0.6357894393041108
New York,Governor,100,0.6532933917622133,0.5683454660498867,0.01864987744020825,3.525494091225355e-4,8.467705878053845,11,6,0.7305419163368843,0.5912353713234869
Ohio,Governor,0,0.4537027389356207,0.4138849628945131,0.01817834881185635,3.3624781526805556e-4,11.535239997527189,12,8,0.7597481085488315,0.42345125890176827
Illinois,Governor,100,0.5792642485200454,0.580603333331569,0.01645116493004702,2.7088264216467925e-4,14.288557992566304,4,2,0.520417745543356,0.5799611320187499
Alaska,Governor,1,0.4234414164928131,NA,0.03,NA,NA,0,0,0,0.4234414164928131
Maryland,Governor,100,0.5960060257679597,0.6818181818181818,0.01744568888150902,3.043520605504077e-4,12,1,1,0.31556140108872355,0.623085029961612
South Carolina,Governor,0,0.4154334670940243,0.46351231617614574,0.01924422878188512,3.750017834734528e-4,7.096332165993584,3,1,0.3523123552825096,0.43237223965341887
Colorado,Governor,100,0.542681203023843,0.5623660624136818,0.01594851675632623,2.5500822628759005e-4,10.515984474586071,6,2,0.5380726880850821,0.5532730882303105
Minnesota,Governor,96,0.5465445805866372,0.5377658243028344,0.01985011088810465,4.001663260207446e-4,9.72288000138907,7,4,0.6690503154574003,0.5406711509256353
Texas,Governor,0,0.4520246579642519,0.4617266601812912,0.0163101626836497,2.7154291049796435e-4,7.549420726648859,22,6,0.7452236509747302,0.45925481947819885
Connecticut,Governor,100,0.5852624201950081,0.5764337455892965,0.01347840767813873,1.8854286511784e-4,6.808855008494268,5,2,0.5294514636526828,0.5805880655029008
Michigan,Governor,99,0.5209968939110665,0.5542819098123574,0.01825147386917776,3.398254820718493e-4,7.092065531159402,11,4,0.6810646939229511,0.5436661430780997
Arkansas,Governor,0,0.36580350261159406,0.3840794997480911,0.01798541132103802,3.453446428701387e-4,7.415402294149891,4,3,0.6061561776412547,0.3768816111784356
Oklahoma,Senate 2,0,0.32933981117238625,0.40925612503925857,0.02373965118946858,5.653138870043939e-4,11.049828680184444,3,3,0.6005697082211832,0.37733512847352624
